LocalDateTime,Flow (cfs),Temperture (C)
2016-10-27 22:00:00,3.652873,8.767000
2016-10-27 22:15:00,3.652873,8.742000
2016-10-27 22:30:00,4.304160,8.717000
2016-10-27 22:45:00,4.247527,8.643000
2016-10-27 23:00:00,4.049309,8.618000
2016-10-27 23:15:00,3.539605,8.593000
2016-10-27 23:30:00,3.737823,8.593000
2016-10-27 23:45:00,3.851091,8.568000
2016-10-28 00:00:00,4.049309,8.543000
2016-10-28 00:15:00,3.992675,8.519000
2016-10-28 00:30:00,3.907724,8.494000
2016-10-28 00:45:00,3.851091,8.469000
2016-10-28 01:00:00,3.851091,8.469000
2016-10-28 01:15:00,3.851091,8.444000
2016-10-28 01:30:00,3.851091,8.444000
2016-10-28 01:45:00,3.907724,8.419000
2016-10-28 02:00:00,3.851091,8.394000
2016-10-28 02:15:00,3.652873,8.369000
2016-10-28 02:30:00,3.652873,8.369000
2016-10-28 02:45:00,3.652873,8.344000
2016-10-28 03:00:00,3.596239,8.344000
2016-10-28 03:15:00,3.652873,8.295000
2016-10-28 03:30:00,3.652873,8.295000
2016-10-28 03:45:00,3.652873,8.270000
2016-10-28 04:00:00,3.737823,8.245000
2016-10-28 04:15:00,3.596239,8.245000
2016-10-28 04:30:00,3.652873,8.220000
2016-10-28 04:45:00,3.652873,8.195000
2016-10-28 05:00:00,3.652873,8.195000
2016-10-28 05:15:00,3.652873,8.195000
2016-10-28 05:30:00,3.652873,8.195000
2016-10-28 05:45:00,3.737823,8.170000
2016-10-28 06:00:00,3.794457,8.170000
2016-10-28 06:15:00,3.907724,8.170000
2016-10-28 06:30:00,3.851091,8.145000
2016-10-28 06:45:00,3.907724,8.145000
2016-10-28 07:00:00,3.907724,8.145000
2016-10-28 07:15:00,3.907724,8.120000
2016-10-28 07:30:00,3.907724,8.120000
2016-10-28 07:45:00,3.851091,8.120000
2016-10-28 08:00:00,3.907724,8.095000
2016-10-28 08:15:00,3.907724,8.095000
2016-10-28 08:30:00,3.794457,8.095000
2016-10-28 08:45:00,3.907724,8.095000
2016-10-28 09:00:00,4.049309,8.070000
2016-10-28 09:15:00,4.389111,8.070000
2016-10-28 09:30:00,3.737823,8.045000
2016-10-28 09:45:00,3.794457,8.095000
2016-10-28 10:00:00,3.907724,8.095000
2016-10-28 10:15:00,3.794457,8.095000
2016-10-28 10:30:00,3.851091,8.095000
2016-10-28 10:45:00,3.851091,8.095000
2016-10-28 11:00:00,3.794457,8.095000
2016-10-28 11:15:00,3.737823,8.120000
2016-10-28 11:30:00,3.652873,8.145000
2016-10-28 11:45:00,3.652873,8.170000
2016-10-28 12:00:00,3.596239,8.220000
2016-10-28 12:15:00,3.539605,8.245000
2016-10-28 12:30:00,3.652873,8.295000
2016-10-28 12:45:00,3.652873,8.319000
2016-10-28 13:00:00,3.652873,8.344000
2016-10-28 13:15:00,3.652873,8.394000
2016-10-28 13:30:00,3.596239,8.444000
2016-10-28 13:45:00,3.652873,8.469000
2016-10-28 14:00:00,3.652873,8.494000
2016-10-28 14:15:00,3.596239,8.543000
2016-10-28 14:30:00,3.652873,8.593000
2016-10-28 14:45:00,3.652873,8.643000
2016-10-28 15:00:00,3.794457,8.693000
2016-10-28 15:15:00,3.851091,8.693000
2016-10-28 15:30:00,3.596239,8.742000
2016-10-28 15:45:00,3.539605,8.767000
2016-10-28 16:00:00,3.652873,8.817000
2016-10-28 16:15:00,3.794457,8.841000
2016-10-28 16:30:00,3.851091,8.866000
2016-10-28 16:45:00,3.851091,8.916000
2016-10-28 17:00:00,3.851091,8.941000
2016-10-28 17:15:00,3.907724,8.990000
2016-10-28 17:30:00,4.049309,9.015000
2016-10-28 17:45:00,4.049309,9.040000
2016-10-28 18:00:00,3.907724,9.064000
2016-10-28 18:15:00,3.907724,9.064000
2016-10-28 18:30:00,3.907724,9.089000
2016-10-28 18:45:00,3.907724,9.114000
2016-10-28 19:00:00,3.907724,9.114000
2016-10-28 19:15:00,3.907724,9.139000
2016-10-28 19:30:00,4.049309,9.139000
2016-10-28 19:45:00,3.907724,9.139000
2016-10-28 20:00:00,3.907724,9.114000
2016-10-28 20:15:00,3.907724,9.139000
2016-10-28 20:30:00,4.445744,9.114000
2016-10-28 20:45:00,4.247527,9.089000
2016-10-28 21:00:00,3.851091,9.064000
2016-10-28 21:15:00,3.652873,9.089000
2016-10-28 21:30:00,3.851091,9.089000
2016-10-28 21:45:00,3.992675,9.064000
2016-10-28 22:00:00,4.049309,9.040000
2016-10-28 22:15:00,4.049309,9.015000
2016-10-28 22:30:00,3.992675,8.990000
2016-10-28 22:45:00,3.907724,8.965000
2016-10-28 23:00:00,3.851091,8.965000
2016-10-28 23:15:00,3.851091,8.965000
2016-10-28 23:30:00,3.907724,8.965000
2016-10-28 23:45:00,3.851091,8.941000
2016-10-29 00:00:00,3.907724,8.941000
2016-10-29 00:15:00,3.992675,8.941000
2016-10-29 00:30:00,3.907724,8.916000
2016-10-29 00:45:00,3.794457,8.916000
2016-10-29 01:00:00,4.445744,8.916000
2016-10-29 01:15:00,4.190893,8.891000
2016-10-29 01:30:00,4.190893,8.891000
2016-10-29 01:45:00,4.190893,8.891000
2016-10-29 02:00:00,4.190893,8.891000
2016-10-29 02:15:00,4.190893,8.891000
2016-10-29 02:30:00,3.737823,8.866000
2016-10-29 02:45:00,4.190893,8.891000
2016-10-29 03:00:00,4.190893,8.866000
2016-10-29 03:15:00,4.190893,8.866000
2016-10-29 03:30:00,4.247527,8.841000
2016-10-29 03:45:00,4.190893,8.841000
2016-10-29 04:00:00,4.190893,8.841000
2016-10-29 04:15:00,4.190893,8.841000
2016-10-29 04:30:00,4.190893,8.841000
2016-10-29 04:45:00,4.190893,8.841000
2016-10-29 05:00:00,4.190893,8.841000
2016-10-29 05:15:00,4.190893,8.817000
2016-10-29 05:30:00,4.190893,8.817000
2016-10-29 05:45:00,4.105942,8.817000
2016-10-29 06:00:00,4.247527,8.817000
2016-10-29 06:15:00,4.190893,8.792000
2016-10-29 06:30:00,4.190893,8.792000
2016-10-29 06:45:00,4.190893,8.792000
2016-10-29 07:00:00,4.190893,8.792000
2016-10-29 07:15:00,4.190893,8.792000
2016-10-29 07:30:00,4.190893,8.792000
2016-10-29 07:45:00,4.190893,8.767000
2016-10-29 08:00:00,4.190893,8.767000
2016-10-29 08:15:00,4.190893,8.767000
2016-10-29 08:30:00,4.190893,8.767000
2016-10-29 08:45:00,4.190893,8.767000
2016-10-29 09:00:00,4.190893,8.742000
2016-10-29 09:15:00,4.190893,8.742000
2016-10-29 09:30:00,4.190893,8.742000
2016-10-29 09:45:00,3.482972,8.742000
2016-10-29 10:00:00,3.737823,8.792000
2016-10-29 10:15:00,4.049309,8.767000
2016-10-29 10:30:00,4.049309,8.742000
2016-10-29 10:45:00,3.907724,8.742000
2016-10-29 11:00:00,3.851091,8.767000
2016-10-29 11:15:00,3.907724,8.792000
2016-10-29 11:30:00,3.907724,8.792000
2016-10-29 11:45:00,3.907724,8.792000
2016-10-29 12:00:00,3.907724,8.841000
2016-10-29 12:15:00,3.907724,8.866000
2016-10-29 12:30:00,3.794457,8.891000
2016-10-29 12:45:00,3.907724,8.891000
2016-10-29 13:00:00,3.992675,8.916000
2016-10-29 13:15:00,4.049309,8.941000
2016-10-29 13:30:00,4.049309,8.965000
2016-10-29 13:45:00,3.992675,8.990000
2016-10-29 14:00:00,4.105942,8.990000
2016-10-29 14:15:00,4.190893,9.040000
2016-10-29 14:30:00,4.190893,9.064000
2016-10-29 14:45:00,4.105942,9.163000
2016-10-29 15:00:00,4.105942,9.238000
2016-10-29 15:15:00,4.190893,9.287000
2016-10-29 15:30:00,4.049309,9.287000
2016-10-29 15:45:00,4.105942,9.312000
2016-10-29 16:00:00,4.049309,9.336000
2016-10-29 16:15:00,3.992675,9.336000
2016-10-29 16:30:00,3.992675,9.361000
2016-10-29 16:45:00,3.907724,9.386000
2016-10-29 17:00:00,3.907724,9.410000
2016-10-29 17:15:00,3.907724,9.435000
2016-10-29 17:30:00,3.907724,9.386000
2016-10-29 17:45:00,3.851091,9.386000
2016-10-29 18:00:00,3.851091,9.386000
2016-10-29 18:15:00,3.907724,9.386000
2016-10-29 18:30:00,3.851091,9.386000
2016-10-29 18:45:00,3.794457,9.386000
2016-10-29 19:00:00,3.851091,9.386000
2016-10-29 19:15:00,3.851091,9.386000
2016-10-29 19:30:00,4.049309,9.410000
2016-10-29 19:45:00,4.247527,9.410000
2016-10-29 20:00:00,4.190893,9.410000
2016-10-29 20:15:00,4.190893,9.410000
2016-10-29 20:30:00,3.907724,9.410000
2016-10-29 20:45:00,3.482972,9.386000
2016-10-29 21:00:00,3.652873,9.386000
2016-10-29 21:15:00,4.049309,9.336000
2016-10-29 21:30:00,4.247527,9.312000
2016-10-29 21:45:00,4.049309,9.262000
2016-10-29 22:00:00,3.992675,9.238000
2016-10-29 22:15:00,4.304160,9.213000
2016-10-29 22:30:00,4.049309,9.188000
2016-10-29 22:45:00,4.105942,9.188000
2016-10-29 23:00:00,4.105942,9.139000
2016-10-29 23:15:00,4.049309,9.114000
2016-10-29 23:30:00,3.907724,9.089000
2016-10-29 23:45:00,4.105942,9.064000
2016-10-30 00:00:00,4.105942,9.040000
2016-10-30 00:15:00,4.190893,8.990000
2016-10-30 00:30:00,3.992675,8.965000
2016-10-30 00:45:00,4.190893,8.941000
2016-10-30 01:00:00,3.992675,8.891000
2016-10-30 01:15:00,4.190893,8.891000
2016-10-30 01:30:00,4.105942,8.841000
2016-10-30 01:45:00,4.105942,8.792000
2016-10-30 02:00:00,4.190893,8.767000
2016-10-30 02:15:00,4.105942,8.742000
2016-10-30 02:30:00,4.049309,8.717000
2016-10-30 02:45:00,4.190893,8.693000
2016-10-30 03:00:00,4.247527,8.668000
2016-10-30 03:15:00,4.190893,8.643000
2016-10-30 03:30:00,4.105942,8.618000
2016-10-30 03:45:00,4.190893,8.593000
2016-10-30 04:00:00,4.190893,8.568000
2016-10-30 04:15:00,4.190893,8.568000
2016-10-30 04:30:00,4.190893,8.543000
2016-10-30 04:45:00,4.190893,8.543000
2016-10-30 05:00:00,4.190893,8.519000
2016-10-30 05:15:00,4.105942,8.494000
2016-10-30 05:30:00,4.190893,8.494000
2016-10-30 05:45:00,4.190893,8.469000
2016-10-30 06:00:00,4.049309,8.469000
2016-10-30 06:15:00,3.652873,8.444000
2016-10-30 06:30:00,3.907724,8.469000
2016-10-30 06:45:00,4.105942,8.444000
